idea_id,idea_name,response_id,employee_id,winners,finalist,focus,need,solution,impact,sustainability,score
QID791,Vital signs circa 1776,R_8qumOLjI9jTJHj7,cwetzel,0,0,Care Coordination,,,,,0
QID841,MGH Recycles,R_0wCfj9Z1AKmSfat,aeisman,0,,Workplace,,,,,
QID780,Automated Med Rec,R_2bM43HuD3GBzizX,stopley,0,1,Physician workflow,26,18,27,18,89
QID741,Echo Order Entry,R_5BJZgienMrUhqnz,stopley,0,0,Admin workflow,28,19,27,15,89
QID857,What is the Cost of Care?,R_23sH9TSMmqpTXlr,momccleary,-1,1,Information,20,12,10,10,52
QID746,Mini Heart Failure Unit,R_4OD3w0bLlGmOMlf,plowry,0,1,Care Coordination,,,,,0
QID752,Heart Failure Intermediate Care Unit,R_4Z2c3V1S2xsojv7,momccleary,0,1,Care Coordination,28,16,30,18,92
QID812,Right meds,R_1GQuXhfPkT3m1JH,cwetzel,0,0,Care Coordination,30,18,25,18,91
QID858,"Let's build patient-doctor, not computer-doctor, relationships",R_9TV6Clv99mVac3b,ctchen,0,0,Physician workflow,29,16,20,10,75
QID808,Beepers are so 1982,R_8AiTwEBwlyGCwdv,cwetzel,0,0,Workplace,18,12,10,5,45
QID814,No more Styrofoam,R_0whngFNuypjOMTz,cwetzel,0,,Workplace,,,,,
QID860,Idea 11,R_6fD1S7PlkS52RdX,nsscott,0,1,Information,15,13,15,10,53
QID803,Idea 1,R_0jOKmklrwtEWA8B,dmcdonald10,0,0,Workplace,18,20,17,18,73
QID771,Idea 12,R_37uS1vekIC8pGiV,ada.stefanescu,-1,1,Physician workflow,,,,,0
QID797,Where's the Code? ,R_2mhz00wY2EwlV65,efan1,0,1,Quality and safety ,27,19,28,18,92
QID761,Idea 7,R_6Ewas6ur2DIEmWN,rzusman,0,0,"Operations (OR surgical tools inventory, cath lab inventory)",23,15,23,10,71
QID839,Code Blue- where is the defib? on the code cart!,R_3I4RutFbwSLxeT3,efan1,0,0,Quality and safety ,26,20,20,17,83
QID743,Wheelchair Safety,R_6QLmphHzUPpKPWt,edamas1,0,0,Quality and safety ,27,20,30,20,97
QID820,MGH 411 - Everything you need to know!,R_7WY8hiB5jGSC5ox,efan1,0,0,Information,24,17,15,20,76
QID749,eVisit,R_9Rd250afRwYFbIF,rmalhotra,0,0,Physician workflow,22,20,30,17,89
QID750,On line Access for patients,R_9tc4P2e1hm1HZat,cwetzel,0,0,Information,18,20,15,10,63
QID781,The Heart Center Knowledge Lounge,R_9BN2Mss62lXNDmZ,kapowers,0,1,Information,21,20,28,16,85
QID776,Idea 17,R_9nwWhoZvb4PgYMR,kgallen,0,0,Care Coordination,28,20,25,18,91
QID775,Idea 18,R_1F7AZrTzfxxQbXL,jren6,0,1,Patient support,24,18,27,20,89
QID789,No pepperoni in my chest wound please,R_262EDD0LuVYqDw9,cwetzel,0,,Patient support,,,,,
QID831,The mobile heart failure manager,R_0JxUFplM1emaSZ7,klpeterson,0,1,Patient support,30,20,24,18,92
QID764,The Mask,R_eFCj9jepeKlkvIx,dllogan,0,0,Quality and safety ,18,20,25,18,81
QID798,Idea 20,R_3Id5xVkIYb83K61,spatel66,0,1,Patient support,25,20,26,17,88
QID802,Idea 15,R_eKCroMsH4ReBoKp,jpasseri,1,1,Information,26,20,27,20,93
QID837,Nurture the Nurse,R_8HywiuIfsdwAuoJ,ccalder1,0,0,Workplace,30,15,20,15,80
QID768,Fast Contact,R_4Uu9iiflNsEVLz7,dkireyev,0,1,Access,25,13,15,12,65
QID866,Opening availability ,R_2aYdXzgpF7zTLxz,mjflaherty,0,0,Admin workflow,30,17,13,17,77
QID742,Idea 3,R_4SMWEFF6RvWpyuN,okattan,0,0,Physician workflow,30,17,25,20,92
QID757,Employee showers,R_9ubIkXbhizBNSVD,cwetzel,0,,Workplace,,,,,
QID821,The seven-day hospital,R_8APdrU4YPQf30O1,hblanchard,0,,Access,,,,,
QID777,Safety in numbers,R_eDw49lagjILcLaZ,ktrecartin,0,0,"Operations (OR surgical tools inventory, cath lab inventory)",,,,,0
QID773,Idea 13,R_42xDqG7LQcuvhFr,ada.stefanescu,0,0,Care Coordination,30,18,20,18,86
QID848,EPIC Heart Failure Risk Prediction Tool,R_82nDxXstdvAdmO9,mvaduganathan,0,1,Physician workflow,30,18,28,20,96
QID825,Idea 10,R_eRmYxM6ydD4ZoS9,ctetraultangelini,0,0,Workplace,15,20,27,20,82
QID828,Cooking classes ,R_d6hjw8hTCiPfcmV,aemcquiggan,0,0,Information,30,15,15,10,70
QID846,Fostering New Patient Growth,R_abEyubULCKYuHPv,gputo,0,0,Admin workflow,25,16,15,20,76
QID849,EDIS for everyone,R_dgtVFyFTkRmFfBb,cwetzel,0,0,Physician workflow,22,20,24,18,84
QID763,Germ Control,R_6QLmphHzUPpKPWt,edamas1,0,0,Quality and safety ,23,18,25,18,84
QID786,Don't be Late!,R_1GgGvk0CZT9DtBj,dllogan,0,0,Physician workflow,27,15,10,15,67
QID795,RN note revamp,R_9Z7cL46aj15vcxf,cwetzel,0,0,Care Coordination,26,17,26,15,84
QID799,Discharge Quiz,R_07eA4cwr5l8UwEB,ada.stefanescu,0,1,Information,27,16,23,10,76
QID800,Hand held combination scanner-computer,R_eqBLhDFiZdM5D8N,ncaruso,0,0,Care Coordination,27,20,27,20,94
QID806,Prior authorizations,R_byp09BWczWb5tIh,cwetzel,0,0,Care Coordination,28,18,27,19,92
QID829,Heart Smarts,R_9ZC6OMYz5xWUPg9,ktraynor,0,0,Information,20,20,21,15,76
QID830,Idea 5,R_81FIFerGtH9SsgB,cwetzel,0,0,Admin workflow,10,15,10,10,45
QID853,Equipment for all ,R_0ID7sx0VLDpn3sF,apauley,0,0,Quality and safety ,,,,,0
QID863,Stairs for everyone! ,R_8qerbXnypUKgnWJ,cwetzel,0,0,Workplace,12,13,12,10,47
QID867,Resident Clinical Research Consortium (RCRC),R_egqJOmW5LKxWHAh,mvaduganathan,0,0,"Research (clinical trial, lab supplies)",23,20,30,16,89
QID755,Post procedure care unit,R_4ONdMKWV3NTBEln,mdibartolomeo1,0,0,Care Coordination,25,15,25,18,83
QID779,VADSight: A Novel Approach to Improving Quality and Cost Effectiveness of VAD Care in the Home ,R_3mhj1ePYwzueLPf,jgarcia,0,1,Care Coordination,,,,,0
QID790,ROS solve,R_79h5hAHhBP4YzEV,dkireyev,0,1,Physician workflow,29,20,28,17,94
QID792,No more tangles when walking-- just use magic clamp!,R_6AqsVYUxiD8xl9r,efan1,0,1,Quality and safety ,,,,,0
QID794,Open Rooms,R_417lPzutuSXwA73,mmajmudar,0,0,Care Coordination,25,20,20,17,82
QID843,POPC  Professional Organized Patient Care,R_aarumzLfSfaxxNr,pmevans,0,0,Workplace,13,12,15,13,53
QID851,HeartHealth,R_54iIbWtpHpxvJ5j,spatel66,0,1,Information,,,,,0
QID787,"Pre cath check list should be computerized, started two weeks early, easy for everyone to see",R_4OVSK7mFxdK8B3D,cwetzel,0,1,Care Coordination,27,15,23,19,84
QID793,Taping O2 tanks to IV poles is a safety risk!,R_6KCYkjlysyWFbgh,efan1,0,1,Quality and safety ,,,,,0
QID813,NSTEMI team,R_1HZwZgQgA4vvWwl,okattan,0,0,Physician workflow,,,,,0
QID840,Providing healthier diet choices for patients...,R_5AaN6ZD19Xgk11P,mtvitale,0,0,Patient support,25,16,23,10,74
QID854,Weekend hours: LESS IS MORE,R_4SY5tWq60IwCIWF,adaley,0,,Workplace,,,,,
QID751,D minus 30,R_4SggjCMolNtGg1n,jmcclintic,0,1,Information,30,20,25,20,95
QID754,MRN in apprentice,R_dbeSdh2c7s2up1z,cwetzel,0,0,Physician workflow,29,19,27,17,92
QID816,Computer efficiency,R_6QLmphHzUPpKPWt,edamas1,0,0,Workplace,25,16,23,16,80
QID818,Idea 19,R_5q22IgP69VVDtSR,mduke,0,0,Workplace,22,20,25,15,82
QID738,Code Tubes,R_3sngBXKn5LAGflj,rmboyce,0,0,Quality and safety ,27,15,20,10,72
QID759,HC Electronic Access Dashboard?,R_4MU2jq74XNEAPGZ,kgallen,0,1,Access,29,18,25,20,92
QID778,Patient beepers,R_3Xfe292CslQewex,dllogan,0,0,Physician workflow,27,18,20,15,80
QID836,Smart Phone Based Monitoring of Cardiac and Respiratory Function,R_8IBQRkYTsU6IxWB,aarmoundas,0,1,Care Coordination,,,,,0
QID844,The True Institute,R_d0APbzRxiUzlUQR,nmccleary,0,,Workplace,,,,,
QID748,Human kindness,R_6zihGfArwry4ADj,cwetzel,0,0,Patient support,25,20,25,18,88
QID782,Keep Calm and Slow Down!,R_cV06yFWfNvorTo1,sfiumara,0,,Quality and safety ,,,,,
QID788,EMAR Interactive Scanner,R_9uZn7K3x43f0cJf,kzoeller,0,1,Care Coordination,20,20,28,18,86
QID817,Idea 2,R_beX1ao77uAoUIGp,dbrennan3,0,0,Patient support,18,20,23,17,78
QID819,Update heart center intranet,R_81FIFerGtH9SsgB,cwetzel,0,1,Care Coordination,24,30,20,20,94
QID856,Edwards travel monitor with defibrillator,R_00MU66pWHPZ8IYd,eedwards,0,0,Patient support,21,15,27,16,79
QID865,Bathroom light is on!,R_3DIRNYNK2MbYT8p,efan1,0,0,Patient support,27,20,30,20,97
QID744,TV,R_0kS9tAML1BNbAEt,dllogan,0,1,Information,15,15,10,20,60
QID762,Oncall Preop Checklist and Preop Huddle,R_7aN2vRy24WScSvr,thsong,0,0,Physician workflow,29,20,30,15,94
QID766,Idea 16,R_87yyHNGYY8gd1iZ,kgallen,0,1,Access,25,18,25,18,86
QID815,Scan in for attendance ,R_4YKV7yvruhPpeQt,aokeefe,0,1,Admin workflow,25,15,18,20,78
QID758,New Patient Referral Tracker,R_4UfjzdaJ0RQ1vM1,kgallen,0,1,Access,15,10,20,10,55
QID804,ID up!,R_cBD1JZjHsoqBct7,sfiumara,0,0,Workplace,10,20,10,15,55
QID809,Early Shock Response Team   ESRT,R_8HRcP96CI1sBf25,okattan,0,0,Care Coordination,,,,,0
QID847,Waiting Room Relaxation!,R_bdxxJQLxpAPluVD,dllogan,0,1,Patient support,20,16,15,20,71
QID852,Genie Scheduler,R_9siex6cY5D0tT3D,mmajmudar,0,0,Admin workflow,30,18,15,15,78
QID739,Improve the appropriateness of referrals to specialists,R_bCMaem4CAT409Mh,ctchen,0,1,Physician workflow,27,18,25,20,90
QID756,MOJO for everyone,R_81XmX8bAynR6iK9,cwetzel,0,0,Physician workflow,20,18,25,18,81
QID769,Staff Quality of Life and Burnout,R_6Ewas6ur2DIEmWN,rzusman,0,0,Workplace,24,17,12,10,63
QID770,Does anyone have a chair alarm? ,R_72FsyGhVsPySZff,efan1,0,0,Care Coordination,24,13,20,10,67
QID772,Find portable patient care equipment when you need it,R_a93C7huUpN41brD,efan1,0,0,Quality and safety ,23,20,23,20,86
QID826,Idea 22,R_3UEnJ5fIGWh5yap,pmeinhardt,0,1,Patient support,28,16,22,18,84
QID838,Health Check Matters!,R_3t1ERmjXxmlKJYp,tsanborn,0,1,Information,30,18,24,16,88
QID864,Idea 109,R_0oXteCSggRyjx7n,nhiggins,0,,Admin workflow,,,,,
QID753,Home Base comfort calls... Stay at your home base until it is the right time to come in!,R_0U0rHNNA8GOVPX7,mraduazzo,0,1,Patient support,27,20,23,17,87
QID767,Idea 21,R_ePdXsPtwAjFsKSp,pmeinhardt,0,0,Information,28,20,25,17,90
QID783,Patient Locator,R_82JAMBgTskDAzOZ,tkaleta,0,1,Physician workflow,24,18,22,16,80
QID796,VAD Telemonitoring,R_4GFH4eR7q41TowZ,thsong,0,1,Patient support,30,17,22,17,86
QID805,Idea 14,R_1R1toXU1upVYGwZ,csmith8,0,0,Workplace,21,12,18,12,63
QID832,Prevent low K in DKA!,R_8G5Uh4jc2MHtZoF,anmalik,0,0,Quality and safety ,,,,,0
QID842,Idea 31,R_0oiDVi0MLf2vfJb,glhealy,0,0,Information,18,20,25,20,83
QID862,Snack time!,R_6KxMe36xd1FPmhD,dkireyev,0,1,Patient support,27,17,26,17,87
QID745,We Care App,R_bJFGPJHdBYewuj3,mmajmudar,0,0,Patient support,18,15,12,15,60
QID774,Shut the front door!,R_1OgzzynP3Al6PLD,cwetzel,0,0,Patient support,30,17,23,17,87
QID822,Fix Outpatient Heart Failure 'Care Confusion' ,R_ekAe9GlXqkdPTDL,jren6,0,1,Information,22,16,24,18,80
QID861,FitBit challenge ,R_3sjTVfF2kr5MYZf,nsscott,0,0,Information,30,10,15,5,60
QID760,Oncall Preop Checklist and Preop Huddle,R_7aN2vRy24WScSvr,thsong,0,0,Physician workflow,25,17,25,15,82
QID807,Better communication in Oncall,R_bejSHuU89rk6Ef3,cwetzel,0,0,Care Coordination,17,18,22,15,72
QID834,Big Brother,R_3kINfaiHItGgynr,tsundt,0,1,Care Coordination,28,20,28,18,94
QID855,The Comfort Carrier,R_1LZZ7imSEqm68BL,llcollier,0,1,Patient support,17,16,24,15,72
QID801,Expertaj,R_eKTPupz8DvsNl7n,amkhatri,1,1,Access,,,,,0
QID827,Hospitals for Dummies,R_8nZ0KGNy0NaMDeR,dlarosa,0,1,Information,27,20,27,17,91
QID859,Giving voice to education opportunities,R_3ObuZnfhd5Uweqh,kzoeller,0,0,Information,28,20,30,20,98
QID747,Randomizing CHF admissions to furosemide or torsemide,R_ctM31Vgn590ylKJ,aasarma,0,,"Research (clinical trial, lab supplies)",,,,,
QID835,Renovate or Relocate OR Induction rooms,R_9F9Y0yCwS1l9G0B,dmino,0,0,Patient support,23,18,26,10,77
QID824,Idea 9,R_eRmYxM6ydD4ZoS9,ctetraultangelini,0,0,Patient support,27,17,20,18,82
QID833,Idea 6,R_5dvrTCrunBHzzkp,jmcclintic,0,0,Care Coordination,,,,,0
QID845,Walk The Guest (WTG)  or Way To Go! (WTG),R_d0WCAGOjYOdgXMp,cmackay,0,0,Patient support,20,17,20,16,73
QID823,Idea 4,R_bmGWasGm2CFOZuZ,lkleinkauf,-1,1,Patient support,26,18,28,20,92
QID850,Phone-a-Friend,R_6rEeEzj5ZmXAfyJ,kfoley11,0,,Patient support,12,10,15,12,49
QID765,Cliff-bins,R_7VzSRApYAJ48Zk9,cmckeon,0,0,Patient support,15,18,23,20,76
QID784,Edwards Heart Vest,R_3w6bZEDDTUH0IDz,eedwards,0,1,Patient support,,,,,0
QID810,Where are the forks? ,R_23uTkhtfTVaJ9Mp,efan1,0,0,Workplace,15,18,25,20,78
QID740,Idea 8,R_eRmYxM6ydD4ZoS9,ctetraultangelini,0,0,Patient support,23,20,15,20,78
QID811,Creating a standard to compare doses of medications in the same class,R_5yWzBiUM6jWhH1j,aasarma,0,0,Quality and safety ,27,17,25,20,89
QID785,Idea 23,R_bdfD7gw7DVWSL9X,pmeinhardt,0,0,Patient support,10,15,15,10,50
,,R_78LlTFtS4D5VsO1,lakaplan,0,,,,,,,
,,R_3Peal13puSYapcV,stopley,0,,,,,,,
,,R_3mwb9C6pIUCBZPL,cwetzel,0,,,,,,,
,,R_5cBVl8w89u5D0aN,cwetzel,0,,,,,,,
,,R_eWeZ0sauyFypdOJ,ktraynor,0,,,,,,,
,,R_6nzcbOn59KqxxFH,mjohnson37,0,,,,,,,
,,R_etDPQ06lTxCpUvr,jmcclintic,0,,,,,,,
,,R_dg7AC2yZQ1MbN9X,ldane,0,,,,,,,
,,R_0lh72gWbIe20QLz,ldane,0,,,,,,,
,,R_0Of59gSUeo6qHit,aroka,-1,,,,,,,
